Ti,Fe,Ni,CSI,Ti2Ni
50,0,50,108900.6243,1.1017351
50,0.1,49.9,106399.8384,1.1065219
50,0.2,49.8,104028.8749,1.1106134
50,0.3,49.7,102302.6199,1.1137485
50,0.4,49.6,100795.9625,1.1180432
50,0.5,49.5,99204.45615,1.1221063
50,0.6,49.4,97530.70344,1.125906
50,0.8,49.2,95566.95969,1.1294065
50,0.7,49.3,96518.09139,1.1296249
50,0.9,49.1,94247.92816,1.1333805
50,1,49,93046.10524,1.1372732
50,1.1,48.9,91760.83363,1.1411192
50,1.2,48.8,90839.0687,1.1449489
50,1.3,48.7,90266.87282,1.1487728
50,1.4,48.6,89103.35226,1.1526201
50,1.5,48.5,88245.60571,1.1564308
50,1.6,48.4,87928.61289,1.1602833
50,1.7,48.3,86507.26332,1.1641621
50,1.8,48.2,85884.47096,1.1680421
50,1.9,48.1,85167.90265,1.1720518
50,2,48,84647.13873,1.1760811
50,2.1,47.9,83890.4878,1.1801731
50,2.2,47.8,82728.74063,1.1843689
50,2.3,47.7,82721.28938,1.1886192
50,2.4,47.6,81642.43244,1.1930323
50,2.5,47.5,81419.05877,1.1974534
50,2.6,47.4,80741.48739,1.2019354
50,2.7,47.3,78564.14894,1.206536
50,2.8,47.2,79613.84113,1.2112493
50,2.9,47.1,78888.98051,1.2160685
50,3,47,78350.21571,1.2209657
50,3.1,46.9,77764.61486,1.2259921
50,3.2,46.8,77021.28115,1.2310909
50,3.3,46.7,76760.9073,1.2363118
50,3.4,46.6,76331.3517,1.2416264
50,3.5,46.5,75822.13103,1.2470582
50,3.6,46.4,75133.19428,1.2526666
50,3.7,46.3,74701.02331,1.2582112
50,3.8,46.2,74327.11128,1.2639548
50,3.9,46.1,73556.53241,1.269807
50,4,46,73426.5709,1.2757654
50.1,0,49.9,79143.63038,1.5163871
50.1,0.1,49.8,77514.59882,1.5212904
50.1,0.2,49.7,75944.02288,1.5259327
50.1,0.3,49.6,74732.19845,1.5300812
50.1,0.4,49.5,73883.38071,1.5340148
50.1,0.6,49.3,71898.17984,1.5365812
50.1,0.5,49.4,72500.66525,1.5376582
50.1,0.7,49.2,71053.38984,1.5403848
50.1,0.8,49.1,70051.86233,1.5440988
50.1,0.9,49,69383.63925,1.5474539
50.1,1,48.9,68524.98847,1.5508172
50.1,1.1,48.8,67900.26858,1.5540751
50.1,1.2,48.7,67254.08414,1.5573449
50.1,1.3,48.6,66580.49311,1.5606813
50.1,1.4,48.5,65954.94524,1.5639137
50.1,1.5,48.4,65486.51513,1.5672455
50.1,1.6,48.3,64904.02344,1.5705121
50.1,1.7,48.2,64548.91274,1.5737781
50.1,1.8,48.1,63768.44383,1.577104
50.1,1.9,48,63458.41481,1.5804476
50.1,2,47.9,63007.24435,1.5838386
50.1,2.1,47.8,62490.88576,1.5873041
50.1,2.4,47.5,61716.38835,1.5890852
50.1,2.2,47.7,62198.41723,1.5908412
50.1,2.5,47.4,61206.97979,1.5929347
50.1,2.3,47.6,61723.11036,1.5945358
50.1,2.6,47.3,60704.13963,1.596753
50.1,2.7,47.2,60728.46111,1.6008122
50.1,2.8,47.1,60246.75878,1.6048021
50.1,2.9,47,59923.00997,1.608922
50.1,3,46.9,59546.28329,1.6131686
50.1,3.1,46.8,59214.82045,1.6174724
50.1,3.2,46.7,59022.88351,1.6218967
50.1,3.3,46.6,58754.51723,1.6263711
50.1,3.4,46.5,58338.3108,1.630962
50.1,3.5,46.4,57897.37498,1.6357775
50.1,3.6,46.3,57723.81213,1.6405562
50.1,3.7,46.2,57426.92889,1.6453326
50.1,3.8,46.1,56952.27655,1.6504446
50.1,3.9,46,56791.99576,1.6553883
50.1,4,45.9,56601.31917,1.6605866
50.2,0,49.8,84488.2692,1.9486069
50.2,0.1,49.7,60719.94624,1.9531796
50.2,0.3,49.5,58693.15775,1.9558874
50.2,0.2,49.6,59264.83694,1.9573685
50.2,0.4,49.4,57917.11941,1.9600091
50.2,0.5,49.3,57173.19527,1.9637814
50.2,0.6,49.2,56353.3453,1.967321
50.2,0.7,49.1,55726.19778,1.9705754
50.2,0.8,49,55005.68778,1.9737675
50.2,0.9,48.9,54403.71042,1.9767118
50.2,1,48.8,53837.79131,1.9796197
50.2,1.1,48.7,53269.34622,1.9823959
50.2,1.2,48.6,52748.13814,1.9851342
50.2,1.3,48.5,52324.11858,1.9878608
50.2,1.7,48.1,51106.04497,1.9889226
50.2,1.4,48.4,51837.49631,1.9905996
50.2,1.8,48,50846.12943,1.9918147
50.2,1.5,48.3,51550.91681,1.9933544
50.2,1.9,47.9,50324.00075,1.9946885
50.2,1.6,48.2,51253.94195,1.9961444
50.2,2,47.8,50168.82353,1.9976083
50.2,2.1,47.7,49872.16959,2.0005742
50.2,2.2,47.6,49645.61496,2.0035425
50.2,2.3,47.5,49265.20486,2.0065879
50.2,2.4,47.4,48817.29053,2.0097067
50.2,2.5,47.3,48679.3829,2.0128583
50.2,2.6,47.2,48380.80849,2.0162104
50.2,2.7,47.1,48314.02918,2.0193878
50.2,2.8,47,47912.63719,2.0227802
50.2,2.9,46.9,47663.54599,2.0262087
50.2,3,46.8,47324.99225,2.0297709
50.2,3.1,46.7,46987.93315,2.0334359
50.2,3.2,46.6,46879.65188,2.0371765
50.2,3.3,46.5,46881.37302,2.0409391
50.2,3.4,46.4,46559.97394,2.0448388
50.2,3.5,46.3,46458.7206,2.0488582
50.2,3.6,46.2,45377.45244,2.0529509
50.2,3.7,46.1,45972.1391,2.0571571
50.2,3.8,46,45774.85926,2.0614745
50.2,3.9,45.9,45483.24573,2.0658562
50.2,4,45.8,45571.02897,2.0703874
50.3,0,49.7,121441.7313,2.3870407
50.3,0.1,49.6,92089.47324,2.3915724
50.3,0.2,49.5,77722.27398,2.3958408
50.3,0.3,49.4,68301.18866,2.3998876
50.3,0.4,49.3,64176.54259,2.4035715
50.3,0.5,49.2,52441.61204,2.4069472
50.3,0.6,49.1,46078.74438,2.4100825
50.3,1.1,48.6,43927.92807,2.4125691
50.3,0.7,49,45500.95298,2.412988
50.3,1.2,48.5,43600.33499,2.4149957
50.3,0.8,48.9,45112.65119,2.4157836
50.3,1.3,48.4,43067.32247,2.4173924
50.3,0.9,48.8,44672.12061,2.4183786
50.3,1.4,48.3,42837.83772,2.4197632
50.3,1,48.7,44384.55961,2.4207753
50.3,1.5,48.2,41911.2694,2.4221425
50.3,1.6,48.1,42300.69268,2.4246932
50.3,1.7,48,41959.95475,2.4269122
50.3,1.8,47.9,41600.23634,2.429213
50.3,1.9,47.8,41478.08365,2.431651
50.3,2,47.7,41185.93353,2.4337762
50.3,2.1,47.6,40883.90559,2.4361304
50.3,2.2,47.5,40720.90183,2.4385092
50.3,2.3,47.4,40463.68275,2.440909
50.3,2.4,47.3,40236.16918,2.4433235
50.3,2.5,47.2,39737.95054,2.4458503
50.3,2.6,47.1,39988.48531,2.4485281
50.3,2.7,47,39802.58054,2.451058
50.3,2.8,46.9,39459.37151,2.453784
50.3,2.9,46.8,39464.80723,2.4565749
50.3,3,46.7,39107.81799,2.4594328
50.3,3.1,46.6,39038.53119,2.4623758
50.3,3.2,46.5,38948.67859,2.4654037
50.3,3.3,46.4,38524.0752,2.4685576
50.3,3.4,46.3,38554.99683,2.4717858
50.3,3.5,46.2,38395.19449,2.4752388
50.3,3.6,46.1,38256.52908,2.4785575
50.3,3.7,46,38009.18418,2.4820423
50.3,3.8,45.9,37895.5994,2.4856938
50.3,3.9,45.8,37758.65936,2.4894046
50.3,4,45.7,37783.06176,2.4932237
50.4,0,49.6,161010.0666,2.8063239
50.4,0.1,49.5,138618.3248,2.8459803
50.4,0.2,49.4,122517.1537,2.8500236
50.4,0.6,49,55658.9355,2.8522256
50.4,0.3,49.3,96306.36931,2.8537664
50.4,0.7,48.9,49088.68726,2.8551789
50.4,0.4,49.2,78452.8903,2.857144
50.4,0.8,48.8,45934.72486,2.8575675
50.4,0.9,48.7,37766.91934,2.8599319
50.4,0.5,49.1,65400.10272,2.8601694
50.4,1,48.6,37244.7852,2.8623946
